#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
192,Sint Maarten,"9,742",+15,86,,"9,593",+1,63,10,"222,791","1,967","62,056","1,419,169","43,727",North America
193,Eritrea,"9,728",,103,,"9,623",+3,2,,"2,678",28,"23,693","6,523","3,632,195",Africa
194,Niger,"8,801",,308,,"8,477",,16,1,342,12,"240,394","9,341","25,736,305",Africa
195,Caribbean Netherlands,"8,574",+34,33,+2,"8,160",+23,381,,"321,738","1,238","30,126","1,130,474","26,649",North America
196,Guinea-Bissau,"8,149",,170,,"7,139",,840,6,"3,977",83,"129,238","63,066","2,049,247",Africa
197,Comoros,"8,088",+1,160,,"7,920",,8,,"8,967",177,,,"901,961",Africa
198,Sierra Leone,"7,674",,125,,N/A,N/A,N/A,,929,15,"259,958","31,470","8,260,378",Africa
199,Antigua and Barbuda,"7,493",+2,135,,"7,350",+3,8,1,"75,423","1,359","18,901","190,254","99,346",North America
200,Liberia,"7,400",,294,,"5,747",,"1,359",2,"1,405",56,"139,824","26,556","5,265,321",Africa
201,Chad,"7,308",,191,,"4,874",,"2,243",,424,11,"191,341","11,093","17,248,953",Africa
202,Tonga,"6,841",+418,6,,"3,344",+184,"3,491",,"63,467",56,"176,978","1,641,893","107,789",Australia/Oceania
203,St. Vincent Grenadines,"6,746",,106,,"6,638",,2,,"60,472",950,"98,571","883,601","111,556",North America
204,British Virgin Islands,"6,155",+14,62,,N/A,N/A,N/A,1,"201,256","2,027","102,012","3,335,579","30,583",North America
205,Sao Tome and Principe,"5,945",,73,,"5,867",,5,,"26,274",323,"29,036","128,325","226,269",Africa
206,Turks and Caicos,"5,910",,36,,"5,838",,36,4,"149,122",908,"436,234","11,007,115","39,632",North America
207,Saint Kitts and Nevis,"5,549",,43,,"5,506",,0,,"103,032",798,"65,141","1,209,518","53,857",North America
