#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
179,San Marino,"14,369",,112,,"13,994",,263,4,"421,997","3,289","136,485","4,008,370","34,050",Europe
180,CAR,"14,225",,113,,"6,859",,"7,253",2,"2,862",23,"81,294","16,358","4,969,598",Africa
181,Grenada,"13,690",,216,,"13,336",,138,4,"120,732","1,905","136,411","1,203,004","113,392",North America
182,Bhutan,"13,137",+435,6,,"8,677",+386,"4,454",,"16,719",8,"1,991,060","2,533,926","785,761",Asia
183,Liechtenstein,"12,014",+13,78,,"11,593",+108,343,4,"313,600","2,036","80,413","2,099,008","38,310",Europe
184,Gambia,"11,939",,365,,"11,559",,15,4,"4,720",144,"137,657","54,418","2,529,645",Africa
185,Yemen,"11,771",,"2,135",,"8,693",,943,23,381,69,"265,253","8,579","30,919,491",Asia
186,Greenland,"11,747",+32,18,,"2,761",,"8,968",7,"206,327",316,"164,926","2,896,793","56,934",North America
187,Bermuda,"11,561",,123,,"11,271",,167,,"186,784","1,987","800,448","12,932,353","61,895",North America
188,Dominica,"11,108",,57,,"10,712",,339,,"153,672",789,"167,204","2,313,154","72,284",North America
189,Saint Martin,"9,877",,63,,"1,399",,"8,415",7,"248,391","1,584","78,366","1,970,778","39,764",North America
190,Eritrea,"9,704",+3,103,,"9,597",+3,4,,"2,675",28,"23,693","6,530","3,628,170",Africa
191,Sint Maarten,"9,569",+8,85,,"9,433",+3,51,10,"219,035","1,946","62,056","1,420,468","43,687",North America
192,Monaco,"9,445",+34,51,,"9,227",+37,167,4,"237,879","1,284","54,960","1,384,209","39,705",Europe
193,Niger,"8,756",+2,307,,"8,433",+1,16,1,341,12,"229,113","8,927","25,664,043",Africa
194,Comoros,"8,033",,160,,"7,855",,18,,"8,921",178,,,"900,439",Africa
195,Guinea-Bissau,"8,022",+21,167,,"7,002",+24,853,6,"3,922",82,"124,040","60,643","2,045,424",Africa
196,Sierra Leone,"7,665",,125,,N/A,N/A,N/A,,929,15,"259,958","31,521","8,247,056",Africa
197,Caribbean Netherlands,"7,593",+18,31,,"7,545",+63,17,,"285,140","1,164","30,126","1,131,323","26,629",North America
198,Antigua and Barbuda,"7,447",+10,135,,"7,276",+23,36,1,"75,010","1,360","18,901","190,381","99,280",North America
199,Liberia,"7,384",,294,,"5,747",,"1,343",2,"1,405",56,"139,824","26,605","5,255,551",Africa
200,Solomon Islands,"7,258",+209,106,+7,"1,761",+4,"5,391",2,"10,152",148,"5,117","7,157","714,920",Australia/Oceania
201,Chad,"7,255",,190,,"4,874",,"2,191",,422,11,"191,341","11,118","17,210,162",Africa
202,St. Vincent Grenadines,"6,740",,106,,"6,604",,30,,"60,434",950,"98,236","880,827","111,527",North America
203,British Virgin Islands,"6,085",,62,,N/A,N/A,N/A,6,"199,077","2,028","99,936","3,269,515","30,566",North America
204,Sao Tome and Principe,"5,934",,72,,"5,853",+1,9,,"26,264",319,"29,036","128,515","225,935",Africa
205,Turks and Caicos,"5,867",,36,,"5,787",,44,4,"148,198",909,"419,792","10,603,754","39,589",North America
206,Saint Kitts and Nevis,"5,530",,42,,"5,483",+3,5,1,"102,738",780,"65,141","1,210,214","53,826",North America
207,Palau,"3,809",+28,6,,"3,140",,663,5,"208,850",329,"36,979","2,027,580","18,238",Australia/Oceania
208,St. Barth,"3,758",,6,,N/A,N/A,N/A,,"378,564",604,"56,491","5,690,642","9,927",North America
209,Kiribati,"2,940",+13,11,,"2,169",+118,760,4,"24,000",90,,,"122,501",Australia/Oceania
210,Anguilla,"2,555",,9,,"2,528",,18,4,"167,805",591,"51,382","3,374,622","15,226",North America
211,Saint Pierre Miquelon,"1,087",+17,1,,"1,065",+16,21,1,"189,142",174,"17,358","3,020,358","5,747",North America
212,Diamond Princess,712,,13,,699,,0,,,,,,,
213,Wallis and Futuna,454,,7,,438,,9,,"41,609",642,"20,508","1,879,571","10,911",Australia/Oceania
214,Tonga,355,,,,177,,178,,"3,296",,,,"107,690",Australia/Oceania
215,Montserrat,164,,2,,161,,1,,"32,820",400,"8,359","1,672,804","4,997",North America
216,Falkland Islands,109,,,,N/A,N/A,N/A,,"29,871",,"8,632","2,365,580","3,649",South America
217,Macao,81,,,,79,,2,,122,,"5,318","8,008","664,078",Asia
218,Cook Islands,53,+11,,,4,,49,,"3,013",,"2,050","116,537","17,591",Australia/Oceania
219,Samoa,33,,,,3,,30,,164,,,,"200,611",Australia/Oceania
220,Vatican City,29,,,,28,,1,,"36,070",,,,804,Europe
221,Vanuatu,18,,1,,6,,11,,56,3,"23,000","72,080","319,092",Australia/Oceania
222,Western Sahara,10,,1,,8,,1,,16,2,,,"621,783",Africa
223,MS Zaandam,9,,2,,7,,0,,,,,,,
224,Marshall Islands,7,,,,7,,0,,117,,,,"59,855",Australia/Oceania
225,Saint Helena,2,,,,2,,0,,327,,,,"6,107",Africa
226,Micronesia,1,,,,1,,0,,9,,,,"117,031",Australia/Oceania
